sample_id,SampleName,BioSample,BioProject
139733,102.100.100/139733,SAMN44625806,PRJNA1122929
139734,102.100.100/139734,SAMN44625807,PRJNA1122929
139735,102.100.100/139735,SAMN44625808,PRJNA1122929
139736,102.100.100/139736,SAMN44625809,PRJNA1122929
139738,102.100.100/139738,SAMN44625811,PRJNA1122929
139739,102.100.100/139739,SAMN44625812,PRJNA1122929
139740,102.100.100/139740,SAMN44625813,PRJNA1122929
139873,102.100.100/139873,SAMN44625941,PRJNA1122929
139875,102.100.100/139875,SAMN44625942,PRJNA1122929
139876,102.100.100/139876,SAMN44625943,PRJNA1122929
139906,102.100.100/139906,SAMN44625965,PRJNA1122929
139907,102.100.100/139907,SAMN44625966,PRJNA1122929
139908,102.100.100/139908,SAMN44625967,PRJNA1122929
139909,102.100.100/139909,SAMN44625968,PRJNA1122929
139910,102.100.100/139910,SAMN44625969,PRJNA1122929
139911,102.100.100/139911,SAMN44625970,PRJNA1122929
139930,102.100.100/139930,SAMN44625989,PRJNA1122929
139931,102.100.100/139931,SAMN44625990,PRJNA1122929
139932,102.100.100/139932,SAMN44625991,PRJNA1122929
139933,102.100.100/139933,SAMN44625992,PRJNA1122929
139954,102.100.100/139954,SAMN44626013,PRJNA1122929
139955,102.100.100/139955,SAMN44626014,PRJNA1122929
139956,102.100.100/139956,SAMN44626015,PRJNA1122929
139957,102.100.100/139957,SAMN44626016,PRJNA1122929
139847,102.100.100/139847,SAMN44625919,PRJNA1122929
139830,102.100.100/139830,SAMN44625902,PRJNA1122929
139872,102.100.100/139872,SAMN44625940,PRJNA1122929
139732,102.100.100/139732,SAMN44625805,PRJNA1122929
139871,102.100.100/139871,SAMN44625939,PRJNA1122929
139870,102.100.100/139870,SAMN44625938,PRJNA1122929
139869,102.100.100/139869,SAMN44625937,PRJNA1122929
139868,102.100.100/139868,SAMN44625936,PRJNA1122929
139731,102.100.100/139731,SAMN44625804,PRJNA1122929
139846,102.100.100/139846,SAMN44625918,PRJNA1122929
139845,102.100.100/139845,SAMN44625917,PRJNA1122929
139844,102.100.100/139844,SAMN44625916,PRJNA1122929
139730,102.100.100/139730,SAMN44625803,PRJNA1122929
138541,102.100.100/138541,SAMN44625793,PRJNA1122929
139843,102.100.100/139843,SAMN44625915,PRJNA1122929
139718,102.100.100/139718,SAMN44625799,PRJNA1122929
139727,102.100.100/139727,SAMN44625800,PRJNA1122929
139729,102.100.100/139729,SAMN44625802,PRJNA1122929
139789,102.100.100/139789,SAMN44625862,PRJNA1122929
139790,102.100.100/139790,SAMN44625863,PRJNA1122929
139791,102.100.100/139791,SAMN44625864,PRJNA1122929
139795,102.100.100/139795,SAMN44625868,PRJNA1122929
139796,102.100.100/139796,SAMN44625869,PRJNA1122929
139797,102.100.100/139797,SAMN44625870,PRJNA1122929
139798,102.100.100/139798,SAMN44625871,PRJNA1122929
139799,102.100.100/139799,SAMN44625872,PRJNA1122929
139809,102.100.100/139809,SAMN44625881,PRJNA1122929
139810,102.100.100/139810,SAMN44625882,PRJNA1122929
139811,102.100.100/139811,SAMN44625883,PRJNA1122929
139812,102.100.100/139812,SAMN44625884,PRJNA1122929
139813,102.100.100/139813,SAMN44625885,PRJNA1122929
139826,102.100.100/139826,SAMN44625898,PRJNA1122929
139827,102.100.100/139827,SAMN44625899,PRJNA1122929
139828,102.100.100/139828,SAMN44625900,PRJNA1122929
139829,102.100.100/139829,SAMN44625901,PRJNA1122929
139756,102.100.100/139756,SAMN44625829,PRJNA1122929
139788,102.100.100/139788,SAMN44625861,PRJNA1122929
139717,102.100.100/139717,SAMN44625798,PRJNA1122929
139787,102.100.100/139787,SAMN44625860,PRJNA1122929
139786,102.100.100/139786,SAMN44625859,PRJNA1122929
139715,102.100.100/139715,SAMN44625796,PRJNA1122929
139773,102.100.100/139773,SAMN44625846,PRJNA1122929
139772,102.100.100/139772,SAMN44625845,PRJNA1122929
139771,102.100.100/139771,SAMN44625844,PRJNA1122929
139770,102.100.100/139770,SAMN44625843,PRJNA1122929
139769,102.100.100/139769,SAMN44625842,PRJNA1122929
139714,102.100.100/139714,SAMN44625795,PRJNA1122929
139755,102.100.100/139755,SAMN44625828,PRJNA1122929
139754,102.100.100/139754,SAMN44625827,PRJNA1122929
139737,102.100.100/139737,SAMN44625810,PRJNA1122929
139919,102.100.100/139919,SAMN44625978,PRJNA1122929
139929,102.100.100/139929,SAMN44625988,PRJNA1122929
139928,102.100.100/139928,SAMN44625987,PRJNA1122929
139927,102.100.100/139927,SAMN44625986,PRJNA1122929
139918,102.100.100/139918,SAMN44625977,PRJNA1122929
139917,102.100.100/139917,SAMN44625976,PRJNA1122929
139916,102.100.100/139916,SAMN44625975,PRJNA1122929
139915,102.100.100/139915,SAMN44625974,PRJNA1122929
139914,102.100.100/139914,SAMN44625973,PRJNA1122929
139913,102.100.100/139913,SAMN44625972,PRJNA1122929
139753,102.100.100/139753,SAMN44625826,PRJNA1122929
138542,102.100.100/138542,SAMN44625794,PRJNA1122929
139752,102.100.100/139752,SAMN44625825,PRJNA1122929
139743,102.100.100/139743,SAMN44625816,PRJNA1122929
139742,102.100.100/139742,SAMN44625815,PRJNA1122929
139741,102.100.100/139741,SAMN44625814,PRJNA1122929
139940,102.100.100/139940,SAMN44625999,PRJNA1122929
139939,102.100.100/139939,SAMN44625998,PRJNA1122929
139938,102.100.100/139938,SAMN44625997,PRJNA1122929
139848,102.100.100/139848,SAMN44625920,PRJNA1122929
139849,102.100.100/139849,SAMN44625921,PRJNA1122929
139850,102.100.100/139850,SAMN44625922,PRJNA1122929
139851,102.100.100/139851,SAMN44625923,PRJNA1122929
139852,102.100.100/139852,SAMN44625924,PRJNA1122929
139877,102.100.100/139877,SAMN44625944,PRJNA1122929
139878,102.100.100/139878,SAMN44625945,PRJNA1122929
139879,102.100.100/139879,SAMN44625946,PRJNA1122929
139880,102.100.100/139880,SAMN44625947,PRJNA1122929
139889,102.100.100/139889,SAMN44625948,PRJNA1122929
139890,102.100.100/139890,SAMN44625949,PRJNA1122929
139891,102.100.100/139891,SAMN44625950,PRJNA1122929
139912,102.100.100/139912,SAMN44625971,PRJNA1122929
139834,102.100.100/139834,SAMN44625906,PRJNA1122929
