GENOME,SAMPLE
BPAM22-1_SAMN07449441_MAG_00000003,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000004,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000005,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000006,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000010,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000011,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000012,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000015,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000017,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000023,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000026,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000027,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000032,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000034,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000036,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000039,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000040,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000042,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000043,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000045,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000049,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000050,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000052,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000053,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000054,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000060,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000064,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000065,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000067,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000068,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000069,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000070,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000071,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000072,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000073,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000074,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000075,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000077,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000078,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000080,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000083,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000085,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000086,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000087,BPAM22-1_SAMN07449441_METAG
BPAM22-1_SAMN07449441_MAG_00000089,BPAM22-1_SAMN07449441_METAG
